file,line,section,raw_url,test_url,template_note,status,final_url,content_type,error,elapsed_ms,ogc_attempted,timestamp,verdict,verdict_detail
SOURCES_DONNEES_EXHAUSTIVES.md,663,6.10.6 Archives historiques et cartographie ancienne,https://remonterletemps.ign.fr/,https://remonterletemps.ign.fr/,,200,https://remonterletemps.ign.fr/,text/html,,141,,2026-07-30T19:57:38.157914+00:00,VIVANTE,HTTP 200
SOURCES_DONNEES_EXHAUSTIVES.md,664,6.10.6 Archives historiques et cartographie ancienne,https://www.geoportail.gouv.fr/donnees/carte-cassini,https://www.geoportail.gouv.fr/donnees/carte-cassini,,200,https://www.geoportail.gouv.fr/donnees/carte-cassini,text/html; charset=utf-8,,125,,2026-07-30T19:57:38.182238+00:00,VIVANTE,HTTP 200
SOURCES_DONNEES_EXHAUSTIVES.md,1067,10.14 Autres sources — méthodes d'accès rapides,https://www.anfr.fr/cartoradio,https://www.anfr.fr/cartoradio,,404,https://www.anfr.fr/cartoradio,text/html; charset=utf-8,,172,,2026-07-30T19:57:38.165078+00:00,MORTE,HTTP 404
SOURCES_DONNEES_EXHAUSTIVES.md,891,C. DRIAS (projections climatiques),https://www.drias-climat.fr/,https://www.drias-climat.fr/,,200,https://www.drias-climat.fr/,text/html;charset=utf-8,,172,,2026-07-30T19:57:38.174075+00:00,VIVANTE,HTTP 200
SOURCES_DONNEES_EXHAUSTIVES.md,624,6.10.2 Hydro — sources complémentaires,https://hydro.eaufrance.fr/,https://hydro.eaufrance.fr/,,200,https://hydro.eaufrance.fr/,text/html; charset=UTF-8,,203,,2026-07-30T19:57:38.191609+00:00,VIVANTE,HTTP 200
DATASET_CATALOG.md,115,DS-002 — IGN LiDAR HD,https://geoservices.ign.fr/lidarhd,https://geoservices.ign.fr/lidarhd,,200,https://cartes.gouv.fr/rechercher-une-donnee/dataset/IGNF_NUAGES-DE-POINTS-LIDAR-HD?redirected_from=geoservices.ign.fr,text/html,,203,,2026-07-30T19:57:38.188090+00:00,VIVANTE,HTTP 200
SOURCES_DONNEES_EXHAUSTIVES.md,1081,10.14 Autres sources — méthodes d'accès rapides,https://geoservice.dlr.de/web/maps/,https://geoservice.dlr.de/web/maps/,,200,https://geoservice.dlr.de/web/maps,text/html;charset=UTF-8,,437,,2026-07-30T19:57:38.184504+00:00,VIVANTE,HTTP 200
DATASET_CATALOG.md,115,DS-002 — IGN LiDAR HD,https://cartes.gouv.fr/telechargement/IGNF_MNT-LIDAR-HD,https://cartes.gouv.fr/telechargement/IGNF_MNT-LIDAR-HD,,200,https://cartes.gouv.fr/telechargement/IGNF_MNT-LIDAR-HD,text/html,,31,,2026-07-30T19:57:38.624741+00:00,VIVANTE,HTTP 200
SOURCES_DONNEES_EXHAUSTIVES.md,665,6.10.6 Archives historiques et cartographie ancienne,https://www.data.gouv.fr/datasets/scan-etat-major-r-40k-1,https://www.data.gouv.fr/datasets/scan-etat-major-r-40k-1,,200,https://www.data.gouv.fr/datasets/scan-etat-major-r-40k-1,text/html;charset=utf-8,,344,,2026-07-30T19:57:38.336423+00:00,VIVANTE,HTTP 200
DATASET_CATALOG.md,647,DS-023 — EFFIS (European Forest Fire Information System),https://effis.jrc.ec.europa.eu,https://effis.jrc.ec.europa.eu,,200,https://forest-fire.emergency.copernicus.eu/,text/html; charset=utf-8,,547,,2026-07-30T19:57:38.171909+00:00,VIVANTE,HTTP 200
SOURCES_DONNEES_EXHAUSTIVES.md,1535,14.2 Solutions open source — moteurs d'inférence (classées par efficacité),https://github.com/mlc-ai/mlc-llm,https://github.com/mlc-ai/mlc-llm,,200,https://github.com/mlc-ai/mlc-llm,text/html; charset=utf-8,,609,,2026-07-30T19:57:38.178567+00:00,VIVANTE,HTTP 200
DATASET_CATALOG.md,670,DS-024 — MODIS / FIRMS (détection active fire),https://firms.modaps.eosdis.nasa.gov,https://firms.modaps.eosdis.nasa.gov,,200,https://firms.modaps.eosdis.nasa.gov,text/html,,609,,2026-07-30T19:57:38.178567+00:00,VIVANTE,HTTP 200
SOURCES_DONNEES_EXHAUSTIVES.md,903,"B. API Download (asynchrone, bulk)",https://api.gbif.org/v1/occurrence/download/request,https://api.gbif.org/v1/occurrence/download/request,,404,https://api.gbif.org/v1/occurrence/download/request,,,157,,2026-07-30T19:57:38.654019+00:00,MORTE,HTTP 404
DATASET_CATALOG.md,92,DS-001 — BD Forêt v2 (IGN),https://ignfr.maps.arcgis.com,https://ignfr.maps.arcgis.com,,200,https://ignfr.maps.arcgis.com/home/index.html,text/html,,656,,2026-07-30T19:57:38.170266+00:00,VIVANTE,HTTP 200
